               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.028164,           0.0082911,           0.0015304,              0.9891,             0.98724,             0.99476,              0.7097,            0.022865,           0.0050758,          0.00078573,            0.006535,            0.006535,            0.006535
                  37,            0.028741,            0.008202,           0.0013784,             0.99177,             0.98656,             0.99487,             0.72188,            0.021689,           0.0049684,          0.00084578,            0.006436,            0.006436,            0.006436
                  38,            0.026922,           0.0082146,           0.0014341,             0.99111,             0.99078,             0.99492,             0.72087,            0.022106,            0.004931,           0.0007767,            0.006337,            0.006337,            0.006337
                  39,            0.028167,           0.0078507,           0.0012771,             0.99206,             0.98378,             0.99467,             0.72793,            0.021917,           0.0050579,          0.00076745,            0.006238,            0.006238,            0.006238
                  40,            0.028169,           0.0081882,           0.0011707,             0.98733,             0.99013,             0.99488,             0.71955,            0.021391,           0.0050033,          0.00073406,            0.006139,            0.006139,            0.006139
                  41,            0.027678,           0.0079763,           0.0013498,             0.99466,             0.99189,             0.99475,             0.73075,            0.021485,           0.0048199,          0.00073865,             0.00604,             0.00604,             0.00604
                  42,            0.028117,           0.0078688,           0.0013293,             0.99434,             0.98897,             0.99496,             0.72896,            0.021686,           0.0048403,          0.00068616,            0.005941,            0.005941,            0.005941
                  43,             0.02706,           0.0079913,           0.0014497,             0.99633,             0.98408,             0.99492,             0.72678,            0.021756,            0.004867,          0.00069169,            0.005842,            0.005842,            0.005842
                  44,             0.02657,           0.0077487,           0.0012356,             0.99525,             0.99189,               0.995,             0.73857,            0.021485,           0.0047947,          0.00062511,            0.005743,            0.005743,            0.005743
                  45,            0.026405,             0.00762,            0.001319,             0.99734,             0.99053,               0.995,             0.73637,            0.021101,            0.004817,          0.00073685,            0.005644,            0.005644,            0.005644
                  46,            0.026472,           0.0077975,           0.0011115,             0.99599,             0.98769,             0.99496,             0.73822,            0.021087,           0.0048085,          0.00076081,            0.005545,            0.005545,            0.005545
                  47,            0.026226,            0.007667,           0.0011462,             0.98966,             0.98832,             0.99488,             0.72283,             0.02095,           0.0047703,          0.00063677,            0.005446,            0.005446,            0.005446
                  48,            0.025329,           0.0076406,            0.001322,             0.99579,             0.98595,             0.99488,             0.73696,            0.020694,           0.0047388,          0.00074605,            0.005347,            0.005347,            0.005347
                  49,            0.026155,           0.0076589,           0.0012758,             0.99245,             0.98964,             0.99496,              0.7422,            0.020183,           0.0046242,          0.00066299,            0.005248,            0.005248,            0.005248
                  50,            0.025487,             0.00776,           0.0013435,             0.99871,             0.99171,               0.995,             0.75146,            0.019636,           0.0046156,           0.0006017,            0.005149,            0.005149,            0.005149
                  51,            0.025961,           0.0077744,           0.0012079,             0.99543,             0.98769,             0.99496,             0.73872,            0.020064,           0.0047505,           0.0006586,             0.00505,             0.00505,             0.00505
                  52,             0.02542,           0.0077667,           0.0011922,              0.9976,             0.99189,               0.995,             0.73302,            0.019789,           0.0046331,          0.00063263,            0.004951,            0.004951,            0.004951
                  53,            0.025608,           0.0078115,           0.0010921,             0.99079,              0.9898,             0.99492,             0.73516,            0.020767,           0.0046224,          0.00063888,            0.004852,            0.004852,            0.004852
                  54,            0.025117,           0.0074408,            0.001038,             0.99604,             0.98509,             0.99488,             0.74634,            0.020355,           0.0046313,          0.00060827,            0.004753,            0.004753,            0.004753
                  55,            0.024649,           0.0074384,           0.0011267,             0.99272,             0.99189,             0.99496,             0.73082,            0.020769,           0.0046163,          0.00058126,            0.004654,            0.004654,            0.004654
                  56,            0.024738,           0.0073977,            0.001008,             0.99522,             0.99008,             0.99492,             0.74156,            0.020108,           0.0045732,          0.00061517,            0.004555,            0.004555,            0.004555
                  57,            0.023646,            0.007302,          0.00085715,              0.9918,             0.99127,             0.99492,             0.74373,            0.019806,           0.0045761,           0.0004892,            0.004456,            0.004456,            0.004456
                  58,            0.024716,           0.0072853,           0.0011255,             0.99642,             0.99189,               0.995,             0.73373,            0.020271,           0.0046205,          0.00061965,            0.004357,            0.004357,            0.004357
                  59,            0.024539,           0.0073782,            0.001336,             0.99025,             0.99176,             0.99492,             0.74789,            0.018996,           0.0045123,          0.00060851,            0.004258,            0.004258,            0.004258
                  60,            0.023708,           0.0070272,           0.0010591,             0.99503,             0.99189,             0.99496,             0.74962,            0.019332,           0.0046094,          0.00050676,            0.004159,            0.004159,            0.004159
                  61,            0.023892,           0.0070111,          0.00097588,              0.9961,             0.99188,               0.995,              0.7467,            0.019486,           0.0044885,          0.00051472,             0.00406,             0.00406,             0.00406
                  62,            0.023496,           0.0070814,           0.0008479,             0.98892,             0.99108,             0.99484,             0.75022,            0.019442,           0.0045205,          0.00048958,            0.003961,            0.003961,            0.003961
                  63,            0.023749,           0.0072488,          0.00087928,             0.99553,             0.99116,             0.99492,             0.74823,             0.01921,           0.0044738,          0.00053302,            0.003862,            0.003862,            0.003862
                  64,            0.023204,           0.0072562,           0.0011466,             0.99441,             0.98769,             0.99492,             0.74251,             0.01924,           0.0044521,          0.00062989,            0.003763,            0.003763,            0.003763
                  65,            0.023193,           0.0068307,          0.00088151,             0.99757,             0.99189,               0.995,             0.73538,            0.019901,           0.0044129,          0.00048795,            0.003664,            0.003664,            0.003664
                  66,            0.023271,           0.0071233,          0.00084185,             0.99099,             0.99189,             0.99496,             0.74774,            0.019186,           0.0044169,          0.00048102,            0.003565,            0.003565,            0.003565
                  67,            0.022937,           0.0069389,          0.00094796,             0.99567,             0.99189,             0.99496,             0.75813,            0.018618,           0.0044217,          0.00047523,            0.003466,            0.003466,            0.003466
                  68,            0.022561,           0.0071564,          0.00094092,             0.99081,             0.99136,             0.99488,             0.76477,            0.019044,           0.0043285,          0.00055491,            0.003367,            0.003367,            0.003367
                  69,            0.022564,           0.0070267,          0.00091894,             0.99605,             0.98991,               0.995,              0.7562,             0.01838,           0.0043809,           0.0004887,            0.003268,            0.003268,            0.003268
                  70,            0.022056,           0.0069277,          0.00075316,             0.99756,             0.98681,             0.99496,              0.7594,            0.018925,           0.0043379,          0.00054504,            0.003169,            0.003169,            0.003169
                  71,            0.022493,           0.0068115,          0.00093532,             0.99521,             0.99261,             0.99492,             0.75919,             0.01894,           0.0043304,          0.00055991,             0.00307,             0.00307,             0.00307
                  72,             0.02169,           0.0067896,          0.00081498,             0.99607,              0.9874,             0.99496,             0.76025,            0.018522,           0.0043456,          0.00051289,            0.002971,            0.002971,            0.002971
                  73,            0.022249,           0.0068245,            0.001007,              0.9987,             0.99047,               0.995,             0.75204,            0.018832,           0.0043567,          0.00045495,            0.002872,            0.002872,            0.002872
                  74,            0.022235,           0.0071662,          0.00090744,             0.99727,             0.99189,               0.995,             0.76252,            0.018656,            0.004351,          0.00045751,            0.002773,            0.002773,            0.002773
                  75,            0.022125,           0.0068512,          0.00096814,             0.99391,             0.98946,             0.99492,             0.75637,             0.01897,           0.0043563,          0.00046486,            0.002674,            0.002674,            0.002674
                  76,            0.021954,           0.0072797,          0.00088619,             0.99015,             0.99189,             0.99492,              0.7722,            0.018529,           0.0043134,          0.00048744,            0.002575,            0.002575,            0.002575
                  77,            0.021882,           0.0066845,          0.00096127,             0.99079,             0.99275,             0.99492,             0.75668,            0.018769,           0.0043325,          0.00055291,            0.002476,            0.002476,            0.002476
                  78,            0.021711,           0.0067509,          0.00079076,             0.99478,             0.98799,             0.99496,             0.75554,            0.018659,           0.0042922,          0.00048305,            0.002377,            0.002377,            0.002377
                  79,            0.021786,           0.0067282,          0.00082771,             0.99645,             0.98754,             0.99496,             0.76585,            0.018213,           0.0042446,          0.00045938,            0.002278,            0.002278,            0.002278
                  80,            0.021322,           0.0069105,          0.00081278,             0.99515,             0.99275,               0.995,             0.76978,            0.018076,           0.0042574,          0.00044559,            0.002179,            0.002179,            0.002179
                  81,            0.021777,           0.0065369,          0.00089578,              0.9961,             0.99186,               0.995,             0.76298,            0.018304,           0.0042592,          0.00044082,             0.00208,             0.00208,             0.00208
                  82,            0.021132,           0.0066782,           0.0008164,             0.99344,             0.99271,             0.99496,             0.76552,            0.018069,           0.0042518,          0.00044736,            0.001981,            0.001981,            0.001981
                  83,            0.021121,           0.0066757,          0.00082751,             0.99407,             0.99276,             0.99496,             0.76903,            0.018148,           0.0042457,          0.00042106,            0.001882,            0.001882,            0.001882
                  84,            0.020897,            0.006498,           0.0007132,             0.99443,             0.99282,             0.99496,             0.75601,            0.018652,           0.0042749,           0.0004428,            0.001783,            0.001783,            0.001783
                  85,            0.021268,           0.0065461,          0.00080587,             0.99269,             0.99485,             0.99496,             0.76959,            0.018136,           0.0042176,          0.00043786,            0.001684,            0.001684,            0.001684
                  86,            0.020586,           0.0065943,          0.00073073,             0.99277,              0.9958,             0.99496,             0.76388,            0.018085,           0.0042474,          0.00041602,            0.001585,            0.001585,            0.001585
                  87,            0.020387,           0.0065784,          0.00065479,             0.99389,             0.99242,             0.99496,             0.76395,            0.018018,            0.004248,           0.0003871,            0.001486,            0.001486,            0.001486
                  88,            0.020703,            0.006472,           0.0007954,             0.99375,             0.99469,             0.99488,             0.76508,            0.017837,           0.0042218,          0.00042035,            0.001387,            0.001387,            0.001387
                  89,            0.020656,           0.0065542,          0.00085267,             0.99455,             0.99189,             0.99488,             0.77628,            0.017618,           0.0042297,          0.00037621,            0.001288,            0.001288,            0.001288
                  90,            0.020731,           0.0067915,          0.00083197,             0.99467,             0.99086,             0.99496,             0.76864,            0.017821,           0.0042547,          0.00038158,            0.001189,            0.001189,            0.001189
                  91,            0.021042,           0.0067153,          0.00083328,             0.99459,             0.99272,             0.99488,             0.77074,            0.017827,           0.0041986,          0.00040694,             0.00109,             0.00109,             0.00109
                  92,            0.020251,           0.0064253,          0.00065027,             0.99516,             0.99345,               0.995,             0.76989,            0.017902,            0.004248,          0.00040306,            0.000991,            0.000991,            0.000991
                  93,             0.01996,           0.0064548,          0.00066118,             0.99176,             0.98908,             0.99496,             0.76964,            0.017547,           0.0042132,          0.00038115,            0.000892,            0.000892,            0.000892
                  94,            0.020772,           0.0063904,           0.0009032,             0.99466,             0.99259,             0.99496,             0.77038,            0.017909,           0.0042267,          0.00039275,            0.000793,            0.000793,            0.000793
                  95,            0.019722,           0.0065915,          0.00077548,             0.99455,             0.99259,             0.99496,             0.76687,            0.017655,           0.0042101,          0.00038907,            0.000694,            0.000694,            0.000694
                  96,            0.019533,           0.0064389,          0.00071699,             0.99518,             0.99202,               0.995,             0.77714,            0.017481,           0.0041849,          0.00039201,            0.000595,            0.000595,            0.000595
                  97,            0.019874,           0.0063278,          0.00075027,             0.99386,             0.99266,             0.99496,              0.7683,            0.017607,           0.0041936,          0.00038346,            0.000496,            0.000496,            0.000496
                  98,            0.020367,           0.0063007,          0.00082022,              0.9949,             0.99264,             0.99496,             0.77277,            0.017488,           0.0041727,          0.00039614,            0.000397,            0.000397,            0.000397
                  99,            0.019671,           0.0062294,          0.00071041,             0.99515,             0.99302,             0.99496,             0.77589,            0.017567,           0.0041791,          0.00039246,            0.000298,            0.000298,            0.000298
